title,description,price,phone,location,date,channel,post_link,product_ref,scraped_at
iPhone 13,Brand new iPhone 13 with warranty,15000,+251911223344,Addis Ababa,2025-10-11 00:42:08,@test_channel_1,https://t.me/test/1,test_001,2025-10-11 00:42:08
Samsung Galaxy,Samsung Galaxy S21 excellent condition,12000,+251922334455,Dire Dawa,2025-10-10 23:42:08,@test_channel_2,https://t.me/test/2,test_002,2025-10-11 00:42:08
MacBook Pro,MacBook Pro 2022 16GB RAM,35000,+251933445566,Hawassa,2025-10-10 22:42:08,@test_channel_1,https://t.me/test/3,test_003,2025-10-11 00:42:08
Test Product,Test product for S3 verification,5000,+251944556677,Adama,2025-10-10 21:42:08,@test_channel_3,https://t.me/test/4,test_004,2025-10-11 00:42:08
🍇**Mullein Leaf Tea Benefits🍇** **Mullein Leaf Tea Benefits** If you’re seeking a natural remedy to ,"🍇**Mullein Leaf Tea Benefits🍇** **Mullein Leaf Tea Benefits** If you’re seeking a natural remedy to enhance your health, consider indulging in mullein leaf tea. This herbal infusion, derived from the leaves of the mullein plant, is renowned for its medicinal properties and nutritional richness. From respiratory support to skin health, mullein leaf tea offers a plethora of advantages. Let’s explore why incorporating mullein leaf tea into your daily routine can be a beneficial choice for your well-being. ☘️Respiratory Support ☘️Anti-inflammatory Properties ☘️Relief from Digestive Issues ☘️Pain Management ☘️Skin Health ☘️Supports Heart Health ☘️☘️**PRICE 8000 ☘️☘️SIZE 120Tea Bags ** ** ** 📞በ **0911410443** ይደውሉልንt! 🌺🌺**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺** ☘️unlock_your_natural_beauty☘️w",8000,0911410443,"**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺**",2025-10-09 14:33:10,@samia_s,https://t.me/Yetal_Search/1310,1310,2025-10-11 06:27:00
🍇**Raspberry Leaf Tea🍇** ☘️ RASPBERRY LEAF TEA BAGS WITH HEALTH BENEFITS: Raspberry is renowned for ,"🍇**Raspberry Leaf Tea🍇** ☘️ RASPBERRY LEAF TEA BAGS WITH HEALTH BENEFITS: Raspberry is renowned for its high levels of antioxidants. ☘️ 100% PURE FROM DRIED RASPBERRY LEAVES: We offer this herb tea in pure, No Blend, No Mix. ☘️ A SUSTAINABLE FARMING TO SUPPORT COMMUNITY: Our experienced farmers adopt methods that minimize the environmental impact of agriculture. ☘️ RASPBERRY TEA BAS MADE BY A HAND-MADE PROCESS: Raspberry leavess are picked at their flavorful/colorful peak and naturally sun-dried to perfection. ☘️ BIODEGRADABLE TEA BAG - NATURAL MATERIAL: Our tea bags are thoughtfully crafted using biodegradable materials, allowing you to enjoy your favorite brew while minimizing your ecological footprint. ☘️☘️**PRICE 8000 ☘️☘️SIZE 135 Tea Bags ** ** ** 📞በ **0911410443** ይደውሉልንt! 🌺🌺**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺** ☘️unlock_your_natural_beauty☘️",8000,0911410443,"**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺**",2025-10-09 14:33:10,@samia_s,https://t.me/Yetal_Search/1304,1304,2025-10-11 06:27:00
"🍇Evening Time Detox Tea** 🍇** FreshDrinkUS Evening Time Detox"" is an herbal tea blend designed for n","🍇Evening Time Detox Tea** 🍇** FreshDrinkUS Evening Time Detox"" is an herbal tea blend designed for nighttime use, containing ingredients like Senna, peppermint, chamomile, licorice, and ginger, which are traditionally used for relaxation and digestion. it is a caffeine-free, non-GMO, and natural product that supports body balance and a restful night's sleep ☘️☘️**PRICE 5500 ☘️☘️SIZE 30 Tea Bags ** ** ** 📞በ **0911410443** ይደውሉልንt! 🌺🌺**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺** ☘️unlock_your_natural_beauty☘️",5500,0911410443,"**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺**",2025-10-09 14:33:08,@samia_s,https://t.me/Yetal_Search/1298,1298,2025-10-11 06:27:00
🍇**Chromium Picolinate 🍇** **Chromium picolinate** is a mineral supplement that may support blood su,"🍇**Chromium Picolinate 🍇** **Chromium picolinate** is a mineral supplement that may support blood sugar control and insulin sensitivity, and potentially improve cholesterol levels. It is also sometimes used to assist with weight loss, reduce cravings, and **may have benefits for metabolic syndrome and Polycystic Ovary Syndrome (PCOS).** However, most people can get enough chromium from their diet, and more research is needed to confirm the extent of its benefits for these conditions. ☘️☘️**PRICE 3500 ☘️☘️SIZE 240 Tablets** ** ** 📞በ **0911410443** ይደውሉልንt! 🌺🌺**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺** ☘️unlock_your_natural_beauty☘️",3500,0911410443,"**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺**",2025-10-09 14:33:08,@samia_s,https://t.me/Yetal_Search/1293,1293,2025-10-11 06:27:00
"🍇**Bioactive milk peptides 🍇** Bioactive milk peptides offer a wide range of health benefits, includ","🍇**Bioactive milk peptides 🍇** Bioactive milk peptides offer a wide range of health benefits, including improving cardiovascular health, lowering blood pressure, and acting as antioxidants. They also contribute to better gut health with anti-microbial and digestive effects, and support the immune system through immunomodulatory actions. Additionally, these peptides are noted for their potential in stress and sleep management, helping with relaxation and promoting restful sleep patterns. Further benefits include potential anti-cancer properties and improvements in bone and metabolic health, with potential roles in regulating blood glucose levels ☘️☘️**PRICE 4500 ☘️☘️SIZE 30 **Capsules ** ** 📞በ **0911410443** ይደውሉልንt! 🌺🌺**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺** ☘️unlock_your_natural_beauty☘️",4500,0911410443,"**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺**",2025-10-09 14:33:06,@samia_s,https://t.me/Yetal_Search/1288,1288,2025-10-11 06:27:00
🍇**Swanson L-Tyrosine ** **🍇** Help support a healthy mind by feeding your brain Swanson L-Tyrosine!,"🍇**Swanson L-Tyrosine ** **🍇** Help support a healthy mind by feeding your brain Swanson L-Tyrosine! A key component of vital brain chemicals, L-tyrosine plays an important role in maintaining healthy mental function. L-tyrosine supports the production of the neurotransmitters norepinephrine and dopamine, both of which may be depleted by stress. Supplementing with L-tyrosine can help restore feelings of focus and mental alertness. ☘️☘️**PRICE 5000 ☘️☘️SIZE 100 **Capsules ** ** 📞በ **0911410443** ይደውሉልንt! 🌺🌺**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺** ☘️unlock_your_natural_beauty☘️",5000,0911410443,"**Address: Dembel City Center 1st flor , Shop No. 124🌺🌺**",2025-10-09 14:33:06,@samia_s,https://t.me/Yetal_Search/1286,1286,2025-10-11 06:27:00
